"Project","Type","Path","Status"
"LavaPro","Directory",".claude","CREATED"
"LavaPro","Directory","agents.d","CREATED"
"LavaPro","Directory","ai-memory","CREATED"
"LavaPro","Directory","assets","CREATED"
"LavaPro","Directory","assets\fonts","CREATED"
"LavaPro","Directory","assets\img","CREATED"
"LavaPro","Directory","docs","CREATED"
"LavaPro","Directory","docs\decisions","CREATED"
"LavaPro","Directory","docs\design-system","CREATED"
"LavaPro","Directory","docs\reference","CREATED"
"LavaPro","Directory","docs\setup","CREATED"
"LavaPro","Directory","docs\validation","CREATED"
"LavaPro","File",".gitignore","CREATED"
"LavaPro","File","AGENTS.md","CREATED"
"LavaPro","File","CLAUDE.md","CREATED"
"LavaPro","File","GEMINI.md","CREATED"
"LavaPro","File","PROJECT_CONTROL.md","CREATED"
"LavaPro","File","README.md","CREATED"
